,"01/04/2022
to
31/03/2023","01/04/2021
to
31/03/2022",,
"Total changes in inventories of finished goods, work-in-progress and stock-in-trade",,,,
Total revenue from sale of products,"1,25,564.59","1,26,070.07",,
Total revenue from sale of services,"(G) 1,901.93","(H) 1,611.33",,
Gross value of transaction with related parties,"66,800.83","49,862.47",,
Bad debts of related parties,0,0,,
